block name,DES,,,,
block bytes,0x80,,,,
,,,,,
,,,,,
register name,DESCNTRL_REG,,,,
register address(offset),0x0,,,,
Bits,Name,R/W,default value,description,
[0],start,rw,0x0,,
[1],encrypt,rw,0x0,,
[3:2],key_sel,rw,0x0,,
[4],des_mode,rw,0x0,,
[6:5],op_mode,rw,0x0,,
[31:7],unused,rw,0x0,field unused { bits 25; },
,,,,,
,,,,,
,,,,,
,,,,,
register name,DESRAND_REG0,,,,
register address(offset),0x10,,,,
Bits,Name,R/W,default value,description,
[31:0],DESRAND_REG0,wo,0x0,,
,,,,,
,,,,,
,,,,,
,,,,,
register name,DESRAND_REG1,,,,
register address(offset),0x14,,,,
Bits,Name,R/W,default value,description,
[31:0],DESRAND_REG1,wo,0x0,,
,,,,,
,,,,,
,,,,,
,,,,,
register name,DESIV_REG0,,,,
register address(offset),0x18,,,,
Bits,Name,R/W,default value,description,
[31:0],DESIV_REG0,wo,0x0,,
,,,,,
,,,,,
,,,,,
,,,,,
register name,DESIV_REG1,,,,
register address(offset),0x1C,,,,
Bits,Name,R/W,default value,description,
[31:0],DESIV_REG1,wo,0x0,,
,,,,,
,,,,,
,,,,,
,,,,,
register name,DESDATA_REG0,,,,
register address(offset),0x20,,,,
Bits,Name,R/W,default value,description,
[31:0],DESDATA0,wo,0x0,,
,,,,,
,,,,,
,,,,,
register name,DESDATA_REG1,,,,
register address(offset),0x24,,,,
Bits,Name,R/W,default value,description,
[31:0],DESDATA1,wo,0x0,,
,,,,,
,,,,,
,,,,,
register name,DESKEY1_REG0,,,,
register address(offset),0x28,,,,
Bits,Name,R/W,default value,description,
[31:0],DESKEY1_REG0,wo,0x0,,
,,,,,
,,,,,
,,,,,
register name,DESKEY1_REG1,,,,
register address(offset),0x2C,,,,
Bits,Name,R/W,default value,description,
[31:0],DESKEY1_REG1,wo,0x0,,
,,,,,
,,,,,
,,,,,
register name,DESKEY2_REG0,,,,
register address(offset),0x30,,,,
Bits,Name,R/W,default value,description,
[31:0],DESKEY2_REG0,wo,0x0,,
,,,,,
,,,,,
,,,,,
register name,DESKEY2_REG1,,,,
register address(offset),0x34,,,,
Bits,Name,R/W,default value,description,
[31:0],DESKEY2_REG1,wo,0x0,,
,,,,,
,,,,,
,,,,,
register name,DESKEY3_REG0,,,,
register address(offset),0x38,,,,
Bits,Name,R/W,default value,description,
[31:0],DESKEY3_REG0,wo,0x0,,
,,,,,
,,,,,
,,,,,
register name,DESKEY3_REG1,,,,
register address(offset),0x3C,,,,
Bits,Name,R/W,default value,description,
[31:0],DESKEY3_REG1,wo,0x0,,
,,,,,
